1160 793
4 0

var1 var2 var3 var4
1.23251128 1.38425211 2.04093665 2.59485071 
1.23251128 1.38425211 2.04093665 2.59485071 
1.27112945 1.18116303 2.14097322 2.56504979 
1.39676865 1.16649391 2.0681991 2.6023871 
1.32233911 1.14343048 2.12796406 2.61841709 
1.24311677 1.19301638 2.17586588 2.53052905 
1.24311677 1.19301638 2.17586588 2.53052905 
1.47203278 1.05151816 2.15624387 2.63194433 
1.17583561 1.28663588 1.9766796 2.5260599 
1.17583561 1.28663588 1.9766796 2.5260599 
1.22591599 1.23573977 2.10452931 2.70229685 
1.32807267 1.14586143 2.15199065 2.65981349 
1.21521873 1.19853928 2.20151672 2.78738924 
1.20088253 1.3152204 2.06105199 2.61059338 
1.20088253 1.3152204 2.06105199 2.61059338 
1.17177229 1.23871406 2.23402621 2.55917757 
1.21521873 1.19853928 2.20151672 2.78738924 
1.28392915 1.24481841 2.1857982 2.65374814 
1.27780297 1.374903 2.15094252 2.61648444 
1.19473667 1.24891377 2.15928251 2.56447976 
1.25556035 1.28665475 2.10179343 2.51819886 
1.23780114 1.26853405 2.05632747 2.68217436 
1.23780114 1.26853405 2.05632747 2.68217436 
1.23251128 1.38425211 2.04093665 2.59485071 
1.25556035 1.28665475 2.10179343 2.51819886 
1.19882642 1.27252747 2.05020417 2.80379648 
1.43787304 1.21025783 2.16236756 2.56388897 
1.35822745 1.20294629 2.2621699 2.62437169 
1.22591599 1.23573977 2.10452931 2.70229685 
1.27780297 1.374903 2.15094252 2.61648444 
1.19882642 1.27252747 2.05020417 2.80379648 
1.36165293 1.13972349 2.18944691 2.7170161 
1.27009695 1.20182838 2.08294555 2.58051206 
1.28940154 1.27669665 2.25944485 2.68502067 
1.23722722 1.22393987 2.33689502 2.59767552 
1.27009695 1.20182838 2.08294555 2.58051206 
1.28940154 1.27669665 2.25944485 2.68502067 
1.24597485 1.27378328 2.29343513 2.60703553 
1.28392915 1.24481841 2.1857982 2.65374814 
1.43787304 1.21025783 2.16236756 2.56388897 
1.16356573 1.39201714 2.24799108 2.54579939 
1.39676865 1.16649391 2.0681991 2.6023871 
1.26243013 1.21276565 2.04763657 2.57141945 
1.15408873 1.39464904 2.07372859 2.57283743 
1.30113342 1.15393205 2.16580989 2.55481651 
1.31176302 1.05374811 2.28044113 2.60563501 
1.35822745 1.20294629 2.2621699 2.62437169 
1.29212145 1.25548677 2.14957503 2.77923594 
1.29212145 1.25548677 2.14957503 2.77923594 
1.16356573 1.39201714 2.24799108 2.54579939 
1.23722722 1.22393987 2.33689502 2.59767552 
1.26012505 1.25590088 2.23149743 2.47167728 
1.23780114 1.26853405 2.05632747 2.68217436 
1.23251128 1.38425211 2.04093665 2.59485071 
1.2495302 1.2539567 2.24030536 2.47638968 
1.23780114 1.26853405 2.05632747 2.68217436 
1.10911933 1.48614061 1.5713556 3.06140142 
1.27714868 1.09482118 2.16827278 2.56778539 
1.27780297 1.374903 2.15094252 2.61648444 
1.23251128 1.38425211 2.04093665 2.59485071 
1.30577503 1.20138935 2.125985 2.66836858 
1.32202695 1.22239145 2.0652221 2.69137637 
1.3711561 1.26039418 2.22430478 2.58418699 
1.19768668 1.25021072 1.9887555 2.59832255 
1.26012505 1.25590088 2.23149743 2.47167728 
1.19473667 1.24891377 2.15928251 2.56447976 
1.27780297 1.374903 2.15094252 2.61648444 
1.31624266 1.23543413 1.98265253 2.42710066 
1.4071781 1.08202039 2.26265692 2.64434719 
1.20088253 1.3152204 2.06105199 2.61059338 
1.44310407 1.07744412 2.17239859 2.58815934 
1.36491448 1.21863203 2.14212562 2.62503426 
1.31624266 1.23543413 1.98265253 2.42710066 
1.36165293 1.13972349 2.18944691 2.7170161 
1.2426652 1.26006383 2.17571888 2.76572754 
1.17583561 1.28663588 1.9766796 2.5260599 
1.22591599 1.23573977 2.10452931 2.70229685 
1.25732935 1.20151781 2.089782 2.49757143 
1.26600424 1.16075481 2.35294716 2.6651195 
1.27009695 1.20182838 2.08294555 2.58051206 
1.22325809 1.2973965 2.22454764 2.50581093 
1.32233911 1.14343048 2.12796406 2.61841709 
1.19882642 1.27252747 2.05020417 2.80379648 
1.3147534 1.34267938 2.19566887 2.69812004 
1.19768668 1.25021072 1.9887555 2.59832255 
1.29212145 1.25548677 2.14957503 2.77923594 
1.39676865 1.16649391 2.0681991 2.6023871 
1.32233911 1.14343048 2.12796406 2.61841709 
1.17583561 1.28663588 1.9766796 2.5260599 
1.23251128 1.38425211 2.04093665 2.59485071 
1.24311677 1.19301638 2.17586588 2.53052905 
1.15408873 1.39464904 2.07372859 2.57283743 
1.01296141 1.60692831 1.75585392 2.69090676 
1.24597485 1.27378328 2.29343513 2.60703553 
